NPC_Profile_1,NPC_Profile_2,NPC_Profile_3,NPC_Profile_4,NPC_Profile_5,NPC_Profile_6,NPC_Profile_7,NPC_Profile_8,NPC_Profile_9,NPC_Profile_10,NPC_Profile_11,NPC_Profile_12,NPC_Profile_13,NPC_Profile_14,NPC_Profile_15,NPC_Profile_16,NPC_Profile_17,NPC_Profile_18,NPC_Profile_19,NPC_Profile_20,NPC_Profile_21,NPC_Profile_22,NPC_Profile_23,NPC_Profile_24,NPC_Profile_25
32.2,41.05,42.4,45.25,45.75,44.55,50.75,68.2,79.65,78,65.3,59.05,84,77.95,61.5,71.75,86.55,90.9,71.1,49.8,35,40.6,50.1,61.95,51.5
38.6,50,60.65,76.95,90.6,110.15,107.1,113,109.85,95.1,76.85,66.5,61,60.25,69.25,82.65,92.45,98.35,82.25,77.6,72.85,68.15,55.55,41.55,40.15
60.05,69.15,73.1,74.1,72.5,70.15,78.9,100,101.35,88.1,71.75,65.85,67,63.9,75.9,86.8,93.45,92.7,87.6,91.7,91.5,73.4,34.15,23.1,12.9
53.7,76.6,97.15,105.5,107.15,97.55,102.7,108.45,96.95,82.75,70.1,54.6,41,45.9,59.45,67.9,76,79.85,73.75,77.05,77.4,75.65,65.3,58.05,49.4
74.1,81.6,74.1,71.6,53.65,49.15,58.9,80,93.5,90.35,80,66.2,59,61.55,80.3,91.75,99,104.15,92.8,83.6,66.65,64.55,63.85,61.2,54.25
86.2,103.5,104.85,114.1,123.3,138.9,125.5,122.85,129.7,119,96.75,79.1,81,75.15,72.9,83.1,91,96.55,72.85,50.9,37.35,37.05,39.25,36.1,30.85
82.5,104.05,93.05,97.75,90.4,84,82.4,91.75,90,81.1,72.05,64.7,77,55.8,66.75,84.5,86.8,75.25,69.85,65.25,63.85,57.5,56.35,45.35,39.7
51.1,58.8,71.2,75.2,83.25,92.75,98.1,104.6,92.9,94.35,90.7,69.25,55,69.5,84,91.4,102,102,80,71.15,70.1,71.55,67.5,63.1,53.1
66.75,75.6,75.2,80.55,80.6,91.7,94.7,106.7,114.05,109.15,108.85,133.7,145,136.55,122.1,121.75,130.7,136.1,123.75,121.8,115,106.4,89.65,78.2,60.2
50.1,57.2,59.4,64.3,64.3,60.7,59.1,76.3,77.55,64.05,55.55,50,59,67.5,69.55,78.4,91.05,88.95,57.25,48.55,45.5,43.8,44.2,36.95,32.15
40,44.55,43.75,45.1,41.05,47.05,59.4,86.25,105.65,98.35,85.95,82.65,85,95.35,96.75,106,113.65,119.2,99.45,92.6,77.8,70.25,68.45,68.55,65.35
63.05,66.7,66.25,67.25,78,79.85,81.9,83.5,82.35,70.15,62.25,59.25,65,66.5,73.05,77.3,88.5,90.55,79.2,82.6,95.35,95.5,97.55,96.2,84
33.25,43.9,44.45,46.95,52.45,64.65,71.15,86.9,91.15,96.1,88.65,84.25,87,82.25,83.1,86.8,90.3,112.55,113.55,98.2,91.35,87.35,76.15,72.3,63.85
54.4,62.1,59.85,60,56.15,63.95,78.1,94.4,95.6,83.2,64.3,55.15,60,56.1,64,73.35,86.35,89.05,71.65,72.95,73,79.6,87.45,93.45,93.55
19.95,22.5,22.3,25.15,35.85,47.75,56.2,72.65,88.35,78.15,68.7,60.05,63,60.2,57.55,65.5,77.45,82.65,55.6,41.25,34.8,35.6,37.15,42.9,50
27.45,44.4,51.6,64.25,74.2,81.45,87.3,85.95,98.15,90.8,67.5,55.6,60,62.4,74,78,86.5,85.75,62.9,45,44.45,55,59.6,56.5,49.8
69.8,91.55,102.5,99.3,102.85,103.7,110.7,115.8,111.3,107.6,88.05,75.5,81,76.25,88.7,104.55,116.25,107.35,80.35,75.5,70.2,60.25,46.35,37.45,27.35
86.35,94.9,91.45,95.35,96.35,95.75,98.2,110.35,126.1,113.75,104.5,97.9,91,103.6,103.45,109.45,130.6,126.3,107.7,97.5,83.95,86.3,84.95,80.95,73.1
15.25,19.2,21.8,21.95,27.3,45.4,59.35,80.2,94,84.85,66.55,48.65,37,39.85,59.35,74.5,89.2,82.2,73.65,69.85,60.25,47.5,44.5,46.4,41.25
44.3,45.6,42,36.1,38.25,53.8,67.35,89.3,104.25,99.55,81,59.6,44,50.15,58.8,69.9,80.65,87.25,72.55,51.1,43.5,56.65,57.95,50.5,46.85
40.65,48.2,61.6,74.1,87.6,90.85,93.65,106.75,113.75,98.45,85.75,75.75,90,86.5,87.45,100.3,110.35,116.6,88.65,75.1,71.15,69.3,70.9,60.15,46.6
62.2,70.15,69.75,69.1,66.7,73.65,81.8,103.3,129.2,121.5,106.6,96.95,86,88.05,91.75,96.3,113.65,125.35,100.75,87.65,68.6,59.75,63.45,71.65,66.3
91.15,100.5,88.45,94.45,91.3,89.9,91.95,114.75,129.7,118.05,106,96.15,94,96.85,101.25,109.1,124.2,123.75,94.75,83.25,71.95,66.35,62.95,63.35,48.15
44.3333333333333,50.8125,56.5625,60.6470588235294,53.0526315789474,52.9,51.95,49.65,52.45,55.4,62.05,74.05,89,80.45,67.6,73.05,83.15,80.85,83.8,90,88.8333333333333,91,79.6,78.4666666666667,72.5714285714286
32.4,39.3,36.75,37.4,44.15,56.25,72.85,100.85,107.8,99.15,97.35,88.8,90,103.2,108.25,118.9,128.5,124.8,103.55,90.25,84.7,78.7,70.2,64.95,53.15
19.5,30.25,40.2,46.45,55.8,67.8,75.2,87,92.2,83.05,73.8,72.05,78,74.45,68.55,76.75,87.9,96.8,72.15,70,80.8,81.05,77.05,66.1,44.75
47.45,64.9,78.2,87.95,86.95,76,73.9,88.55,98.3,92,89.05,96.6,106,104.9,86.1,85.55,88.6,74.85,45.9,39.4,35.25,35.2,41.65,48.1,44.7
36.1,42.05,50.9,55.9,59.3,60.7,63.8,76.75,86.65,80.55,57.95,44.9,49,55.6,64.35,78.6,91.9,89.85,77.85,75.8,57.95,46.8,39.5,34.75,37.1
